Scenario,TicketName,TicketSummary,TicketDescription
create ticket1,Ticket001,Account Locked,"I kept trying to sign in and now the system says my account is locked. I likely tripped the security limit after several failed attempts. Please restore my access and tell me if I need to verify anything."
create ticket1,Ticket002,Account Setup,"I created a new account and started the onboarding process. The setup stops after I enter my profile details and I can’t turn on new features. Please finish the setup and confirm my account is active."
create ticket1,Ticket003,form-addition,"I need an additional form added to my profile for extra information. The current form list doesn’t contain the fields I’m required to capture. Please add the new form and let me know when it’s available."
create ticket1,Ticket004,login issues,"I can’t log in even though I’m entering the correct credentials. The MFA step appears, but the code never arrives. Please fix the login and MFA issue so I can access my account."
create ticket1,Ticket005,password-reset,"I forgot my password and the reset link isn’t working. After I submit a new password, an error appears and nothing changes. Please reset my password or send a new link."
create ticket,Ticket006,Account Locked,"My account was locked after several unsuccessful sign‑in attempts. I was trying to recall my password and hit the limit. Please unlock my account so I can continue."
create ticket,Ticket007,Account Setup,"I’m setting up a new account and the profile step won’t save. Each submission sends me back to the start of onboarding. Please fix the setup flow and activate my account."
create ticket,Ticket008,form-addition,"I’m requesting a new form to be added to my profile. I need additional fields that aren’t in the existing forms. Please add the form and confirm when it’s ready to use."
create ticket,Ticket009,login issues,"I’m unable to sign in even with the right username and password. The login page loops back to the sign‑in screen. Please investigate and restore access."
create ticket,Ticket010,password-reset,"The reset email I received has expired. When I try again, the same error appears after I submit a new password. Please provide a valid reset link or reset it for me."
create ticket,Ticket011,Account Locked,"I tried logging in from a new device and my account got locked. The system now shows it as disabled for security. Please unlock it and let me know if any checks are required."
create ticket,Ticket012,Account Setup,"I signed up today but can’t complete the onboarding checklist. The page freezes when I try to enable features. Please help finish setup so I can start using the account."
create ticket,Ticket013,form-addition,"I need a new form added to capture additional profile details. The current forms don’t include the fields my team needs. Please add the form and confirm when it’s deployed."
create ticket,Ticket014,login issues,"I’m getting login errors even though my credentials are correct. MFA is prompted, but no code is delivered. Please resolve the authentication issue and restore access."
create ticket,Ticket015,password-reset,"The password reset process fails after I enter a new password. I receive an error and the password does not change. Please reset my password or send a working link."
create ticket,Ticket016,Account Locked,"My account is locked after too many failed sign‑in attempts. I was trying to remember my password and exceeded the limit. Please unlock the account and advise on next steps."
create ticket,Ticket017,Account Setup,"I’m trying to finish account setup but the profile step won’t complete. It saves some fields and then returns me to the beginning. Please fix setup and activate my account."
create ticket,Ticket018,form-addition,"Please add an extra form to my profile for compliance data. The standard forms are missing fields I must collect. Let me know once the form is available."
create ticket,Ticket019,login issues,"I can’t log in and my credentials keep getting rejected. I attempted MFA, but the verification code never arrived. Please check the login flow and restore access."
create ticket,Ticket020,password-reset,"I attempted to reset my password but the page rejects the new password. It errors every time I submit. Please reset the password or send a valid link."
create ticket,Ticket021,Account Locked,"My account got locked after repeated sign‑in attempts in another browser. I hit the attempt limit and can’t access anything now. Please unlock my account and confirm if a reset is required."
create ticket,Ticket022,Account Setup,"I registered and the onboarding stalls after profile details. Features don’t appear even after I submit. Please complete the setup and enable my account features."
create ticket,Ticket023,form-addition,"I need a new form for extra profile fields. The existing forms don’t cover the information we collect. Please add the form and notify me when it’s available."
create ticket,Ticket024,login issues,"I keep getting logged out when I try to sign in. I’m using the correct credentials, but the login fails and loops. Please resolve this so I can access my account."
create ticket,Ticket025,password-reset,"The reset email link fails each time I click it. It opens but says the reset cannot be completed. Please send a valid link or reset my password."
create ticket,Ticket026,Account Locked,"My account is locked after trying multiple passwords. I need access today and can’t sign in. Please unlock it and tell me if any verification is needed."
create ticket,Ticket027,Account Setup,"The setup will not save my profile details. After I submit, onboarding restarts at the beginning. Please fix the setup and activate my account."
create ticket,Ticket028,form-addition,"I need a form added for a new workflow. The current forms don’t include the fields we must capture. Please add the form and confirm when it’s ready."
create ticket,Ticket029,login issues,"I’m unable to log in even though the password is correct. The MFA prompt appears, but no code arrives. Please fix MFA delivery and restore access."
create ticket,Ticket030,password-reset,"My reset link expired before I could use it. Retrying gives the same error after I submit a new password. Please reset it or issue a valid link."
create ticket,Ticket031,Account Locked,"I tried signing in too many times and my account is now locked. I was trying to fix a forgotten password and hit the limit. Please unlock my account so I can continue."
create ticket,Ticket032,Account Setup,"The setup wizard stops after my profile details and never finishes. I can’t access features until onboarding completes. Please help finalize setup and activate my account."
create ticket,Ticket033,form-addition,"I’m requesting a new form for additional profile data. The current options don’t support the information I need to record. Please add the form and let me know when it’s live."
create ticket,Ticket034,login issues,"I cannot sign in and the login screen keeps looping. My credentials are correct, but access never completes. Please investigate and restore login."
create ticket,Ticket035,password-reset,"Password reset fails after I submit the new password. The page errors and does not update the account. Please reset my password or send a working link."
create ticket,Ticket036,Account Locked,"My account is disabled after too many failed sign‑in attempts. I was logging in from a new device and got locked out. Please unlock it and confirm next steps."
create ticket,Ticket037,Account Setup,"Onboarding won’t progress beyond profile creation. It returns to the same step each time. Please finalize the setup so I can use the account."
